id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000932,华菱钢铁,SZ,7.2,75.57,21.39,62.99,5.8
000933,神火股份,SZ,7.1,67.32,20.04,51.45,5.3
000935,四川双马,SZ,8.0,66.3,66.2,62.38,7.0
000936,华西股份,SZ,7.9,74.93,68.43,62.74,6.1
000937,冀中能源,SZ,7.2,70.65,20.0,68.46,5.4
000938,紫光股份,SZ,7.3,78.28,74.62,66.75,6.9
000948,南天信息,SZ,5.7,69.93,20.17,50.72,4.6
000949,新乡化纤,SZ,5.8,62.42,22.05,47.89,4.3
000950,重药控股,SZ,6.4,64.55,22.73,71.81,5.0
000951,中国重汽,SZ,7.6,83.84,70.63,60.90,6.8
000952,广济药业,SZ,5.1,61,26.73,60.16,4.2
000953,*ST河化,SZ,5.5,52.84,20.23,53.10,4.6
